ID,Stratum,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS
18,6,-111.12708312371,43.5689905609097,12,489737.755503777,4824011.22824736,9658,132533,489735,4824015,12TVP
19,4,139.724212725296,-35.5128534766098,54,384310.196774715,-3930667.23926529,6144,414356,384315,-3930675,54HUF
20,4,-61.6777340397434,-36.3753774230692,20,618608.507814151,-4026396.37722655,13954,440881,618615,-4026405,20HPE
21,3,62.1608000202387,36.2445543231012,41,424598.293210286,4011400.14768533,7487,169620,424605,4011405,41SMA
22,3,36.6117802650962,35.5289140457061,37,283462.068035879,3934323.58599216,2782,168855,283455,3934335,37SBV
23,4,-0.642859819081423,13.2829356384716,30,755383.706758986,1469632.33187161,18513,184346,755385,1469625,30PYV
24,2,148.869173893422,-34.973816379812,55,670629.991702996,-3871735.10687012,15688,415725,670635,-3871725,55HFB
25,5,159.302548716596,62.6973714880716,57,515483.247082991,6951908.28632554,10516,31603,515475,6951915,57VWK
26,1,-112.965912749088,56.5399973995596,12,379114.681534211,6267912.93536954,5971,84403,379125,6267915,12VUH
27,2,135.505149339747,-12.4791297237767,53,554891.717924246,-1379588.06684605,11830,329320,554895,-1379595,53LNG
28,6,-97.6761505590117,25.8938037778088,14,632614.008268031,2864592.50063508,14421,207847,632625,2864595,14RPP
29,5,-140.648244948864,64.6333690488544,07,516814.530400325,7167641.94347642,10561,21078,516825,7167645,07WEM
30,1,2.98891596710703,34.900568064581,31,498987.34167173,3862016.58739476,9966,167934,498975,3862005,31SDU
31,3,34.3020513739775,5.56617955852425,36,644219.36079821,615408.449613267,14807,242820,644205,615405,36NXM
32,4,-71.5123599040014,-30.5696629019209,19,259047.055035489,-3384599.18095942,1968,422819,259035,-3384585,19JBG
33,3,-99.0902233972174,28.2165763748512,14,491146.805318549,3121197.31962269,9705,199294,491145,3121185,14RMS
34,4,-103.524865001448,20.0476910292757,13,654273.434471127,2217439.70797045,15143,226085,654285,2217435,13QFC
35,1,128.68844339806,64.0446827219459,52,484785.476485925,7102030.49044593,9493,36599,484785,7102035,52WDS
36,5,87.6765297354393,74.6324284415128,45,520012.180533486,8282710.07529496,10667,27243,520005,8282715,45XWC
37,4,-106.38291797858,43.3903233442097,13,387996.129785546,4805089.67976665,6267,139830,388005,4805085,13TCJ
38,3,-9.03699775126213,10.2849141145346,29,495948.794429946,1136914.10430154,9865,265436,495945,1136925,29PMM
39,6,-153.764895898558,65.0860792405974,05,464046.865184416,7218265.65572358,8802,26059,464055,7218255,05WMN
40,6,-121.1776510517,40.3915360857499,10,654667.300059767,4472809.54707661,11822,140906,654675,4472805,10TFK
41,6,131.175143515009,42.9329611398477,52,677488.133760276,4755665.65043928,15916,114811,677475,4755675,52TFN
42,4,-5.07498988430811,15.2314339894489,30,277122.552287354,1684984.49628708,2571,177167,277125,1684995,30PTB
43,1,156.557251721356,64.5285811690981,56,670629.490377204,7160701.65425872,15688,47977,670635,7160715,56WPS
44,5,-164.013810460421,67.8236449501216,03,541539.576479828,7523533.55170469,8051,12549,541545,7523535,03WWR
45,6,112.507863628014,63.1395302235172,49,576007.189726322,7002027.7325192,12534,59933,576015,7002015,49VEL
46,6,16.8368443043013,-12.9661409903377,33,699247.769688763,-1434108.18588217,16642,347803,699255,-1434105,33LXF
47,2,109.395768832545,41.0514979482215,49,365184.312349128,4545713.52201255,5506,141810,365175,4545705,49TCF
48,1,67.1050072818058,71.2625966350753,42,432069.067778213,7907748.47424215,7736,39742,432075,7907745,42WVE
49,1,141.247402396347,70.2168882685162,54,509345.43194242,7790079.23362745,10312,23664,509355,7790085,54WWC
50,3,149.762454023561,-25.6184080105064,55,777414.757098886,-2836319.10462089,19247,381211,777405,-2836305,55JGM
51,6,-48.6994871551866,-19.8288116813845,22,740954.931295251,-2194179.29234992,18032,383139,740955,-2194185,22KGD
52,6,-98.5509614404107,31.3192644045073,14,542724.659894489,3465072.35346227,11424,187831,542715,3465075,14RNV
53,2,121.617690292951,-23.4479285622596,51,358801.107974387,-2593784.58237014,5294,363127,358815,-2593785,51KUQ
54,2,147.412936101547,-27.7710410952708,55,540686.612255145,-3071908.1566169,11356,389064,540675,-3071895,55JEK
55,5,47.0694728250112,43.5446810437188,38,667183.620891394,4823384.08685955,15573,142554,667185,4823385,38TPP
56,3,10.8223170335566,11.3353093791243,32,698879.67572967,1253676.95119898,16629,211544,698865,1253685,32PPT
57,4,42.9366350919616,9.06019504259135,38,273198.041518163,1002150.4854205,2440,269928,273195,1002165,38PKR
58,2,25.0819256826738,-32.7234615552204,35,320250.557352414,-3622257.37842478,4009,420741,320265,-3622245,35HLD
59,6,115.468053786593,35.8121508242915,50,361597.384891991,3964196.35937913,5387,151194,361605,3964185,50SLE
60,5,29.2105950002455,10.5934351336928,35,741875.123247127,1171884.07345216,18063,260937,741885,1171875,35PQM
61,3,18.6108803691468,-9.85308621531041,34,237974.485845704,-1090104.4985474,1266,303004,237975,-1090095,34LBQ
62,3,127.947952879446,-16.9001631320261,52,387952.309818978,-1868809.70721671,6265,335627,387945,-1868805,52KCG
63,1,4.64617101620718,16.3862976137374,31,675804.522977448,1812378.86020469,15860,236255,675795,1812375,31QFU
64,2,21.5930992668063,-9.59656304098391,34,565080.697570875,-1060863.76907458,12170,302030,565095,-1060875,34LEQ
65,4,123.112950511008,-27.8620296601581,51,511119.696138486,-3081923.96489309,10371,379398,511125,-3081915,51JWK
66,1,-48.8461791744172,-1.32692547600371,22,739659.263320311,-146769.747234348,17989,314892,739665,-146775,22MGD
67,6,-52.2741955851163,-21.1005423173173,22,367655.11279717,-2333804.84388081,5589,387793,367665,-2333805,22KCB
68,5,24.553415554018,57.5962874240476,35,353779.255091426,6386401.44309353,5126,87119,353775,6386415,35VLD
69,4,63.0862516319834,46.725632326106,41,506590.821716411,5174678.97154546,10220,130844,506595,5174685,41TNM
70,1,-79.5701165250654,37.965048744387,17,625602.71004182,4202901.39155435,14187,169903,625605,4202895,17SPC
71,5,-137.169504894541,64.5025403636631,07,683899.333510576,7158566.95557011,16130,21381,683895,7158555,07WFM
72,3,-97.4151517945089,17.770808701797,14,668009.141021237,1965538.33150876,15600,237816,667995,1965525,14QPE
73,4,33.3582026132727,4.05743633469194,36,539760.00526276,448484.939783284,11326,248384,539775,448485,36NWK
74,1,86.9167586134907,53.1501765730419,45,494433.04316841,5888979.88137573,9815,107034,494445,5888985,45UVU
75,2,46.6828096349766,29.4720193610816,38,663167.53937035,3261462.28337373,15439,194618,663165,3261465,38RPT
76,3,-55.0464142266665,-26.6490570543781,21,694446.112786276,-2949053.2708332,16482,408301,694455,-2949045,21JXL
77,1,135.473635720397,-33.9434468212184,53,543768.385760049,-3755986.51664307,11459,408533,543765,-3755985,53HNC
78,4,-85.9083039066468,42.0103942992767,16,590397.539167881,4651506.70360199,13013,154949,590385,4651515,16TEM
