ID,Stratum,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS
247,6,133.704678627273,56.7486353047645,53,420784.907757968,6290154.62005628,7360,73662,420795,6290145,53VMC
248,4,9.81038791711043,51.4716539687739,32,556285.715728698,5702588.12233805,11876,63247,556275,5702595,32UNC
249,3,38.5446720761604,36.3589875319913,37,459149.043768573,4023862.84542956,8638,165871,459135,4023855,37SDA
250,6,-7.52848790789017,41.8422654005767,29,622169.134832057,4633310.02752222,14072,148890,622155,4633305,29TPG
251,5,30.1720443755238,48.9634322789158,35,732164.868877989,5428240.59704818,17739,119058,732165,5428245,35UQQ
252,5,-143.889116758436,65.3744917561346,06,644595.538582511,7253761.58233882,14820,21541,644595,7253775,06WXT
253,1,74.6487957607947,44.8777520182926,43,472260.935145687,4969430.33208186,9076,134352,472275,4969425,43TDK
254,1,127.643840915821,-29.9397770515716,52,369116.513000748,-3312885.35814996,5637,383763,369105,-3312885,52JCM
255,3,46.5128201692129,3.40793014609255,38,668062.828358708,376815.048906104,15602,290773,668055,376815,38NPJ
256,6,-5.36489855300829,50.2290631764049,30,331329.928533891,5566775.68053221,4378,47774,331335,5566785,30UUA
257,6,46.0489571018728,-22.4234083375351,38,607954.185976876,-2480070.51562265,13599,386003,607965,-2480085,38KPA
258,3,-2.53199395298012,13.2573652271452,30,550698.916043697,1465644.54164182,11690,184479,550695,1465635,30PWV
259,2,23.9843892636701,14.6460820475337,34,821493.421493479,1621300.15940854,20717,212624,821505,1621305,34PHB
260,1,-108.211025133644,30.1418738625733,12,768659.703152331,3337791.316851,18955,182074,768645,3337785,12RYU
261,6,17.0092996982423,50.4036563055695,33,642785.894853876,5585442.19896184,14760,113818,642795,5585445,33UXR
262,4,38.862522758627,5.59133587892154,37,484774.511423069,618032.055515685,9493,279398,484785,618045,37NDG
263,1,47.0936331588855,36.7145675616731,38,686989.215993887,4065252.11160832,16233,167825,686985,4065255,38SPF
264,3,35.7097211248991,31.2140933746272,36,758151.529202726,3456494.27438207,18605,148117,758145,3456495,36RYV
265,2,-79.8849171033078,-6.44172957171847,17,623310.254981386,-712169.352670828,14111,333738,623325,-712155,17MPN
266,2,141.090914237274,-33.8095588766427,54,508414.423605935,-3741044.28523391,10281,408035,508425,-3741045,54HWH
267,6,29.8124615854482,-12.1775707197408,35,806072.901382942,-1347774.73320233,20203,344925,806085,-1347765,35LRG
268,5,-160.933554146063,63.5149761949895,03,702236.762177768,7049395.70624535,13407,28354,702225,7049385,03VXL
269,4,-65.9172331492204,-31.7726510226663,20,223720.417771574,-3518941.65770225,791,423966,223725,-3518955,20HKK
270,3,-5.35783475208234,33.9440032172769,30,282092.96210755,3758451.63443482,2737,108052,282105,3758445,30STC
271,2,-108.420876836893,34.3078728153236,12,737343.187769176,3799305.28515464,17912,166690,737355,3799305,12SYD
272,6,44.2128519892493,41.3252884463372,38,434125.913844755,4575166.99874396,7804,150828,434115,4575165,38TML
273,1,34.3747725310979,55.9998781152994,36,585738.750641532,6206918.85270752,12858,56436,585735,6206925,36VWH
274,4,8.69652176858423,39.924499240331,32,474066.659892563,4419421.50547598,9136,106019,474075,4419435,32TMK
275,3,6.80933356234007,10.4923878809707,32,260228.135354788,1160688.47384979,2008,214644,260235,1160685,32PKS
276,3,74.1747980751273,30.5515946359266,43,420853.681732005,3380198.80656011,7362,187326,420855,3380205,43RDP
277,4,43.6108771843863,9.22929255310694,38,347399.055762324,1020499.02079828,4913,269317,347385,1020495,38PLR
278,5,-61.5891305043637,-28.0206438716158,20,638701.689892592,-3100291.57435558,14624,410011,638715,-3100305,20JPQ
279,6,-51.6389716963472,-22.5287473772414,22,434291.12787512,-2491494.16541387,7810,393049,434295,-2491485,22KDA
280,3,36.2802655260924,-15.1245559225461,37,207682.690594096,-1673913.72117592,256,355797,207675,-1673925,37LBD
281,5,-96.4000172178454,32.2779718788005,14,744874.852566904,3574215.76000264,18163,184193,744885,3574215,14SQA
282,6,46.6830921150589,-22.4876936493132,38,673147.640417295,-2487782.32925018,15772,386260,673155,-2487795,38KPA
283,5,161.108811289349,65.1036077353482,57,599044.725392774,7221655.11395261,13302,22612,599055,7221645,57WWN
284,1,77.4984521515179,22.7359309205524,43,756597.968199242,2516451.0551479,18553,216118,756585,2516445,43QGF
285,5,-149.786724291187,62.7712171165682,06,357774.384242672,6963175.64812809,5259,31228,357765,6963165,06VUQ
286,6,-96.8810253689011,33.5375163342686,14,696754.418426037,3712889.27967025,16559,179571,696765,3712875,14SPC
287,4,43.166532134688,34.4497254303104,38,331570.285928642,3813547.22851887,4386,176215,331575,3813555,38SLD
288,2,-42.7529312671236,-2.82838978371313,23,749804.089831092,-312866.41121138,18327,320428,749805,-312855,23MQS
289,2,-12.609048160209,18.1920848090946,28,752896.462977614,2013085.35029191,18430,236231,752895,2013075,28QGF
290,4,-60.5221964747122,-23.4479498428804,20,753137.735233524,-2595288.03564369,18438,393177,753135,-2595285,20KQV
291,2,67.6859819665351,50.4491743340705,42,406710.008397424,5589398.8108599,6891,117020,406725,5589405,42UVA
292,1,-66.5864941074838,-21.7894154595899,19,749544.075551006,-2411470.24826239,18318,390382,749535,-2411475,19KGR
293,6,-86.6290695636754,33.599523946315,16,534414.627163057,3717815.079184,11147,186072,534405,3717825,16SEC
294,4,39.0695781597844,36.8514841671986,37,506202.811161694,4078399.49155553,10207,164053,506205,4078395,37SEA
295,4,-44.4207281127973,-15.072626745825,23,562255.908134552,-1666440.69968604,12075,365548,562245,-1666455,23LND
296,3,104.545528811234,35.4068129378664,48,458734.906077055,3918253.41087672,8625,166059,458745,3918255,48SVE
297,6,-124.977740048591,60.9885740650386,10,393005.106077568,6763129.83423874,3100,64562,393015,6763125,10VCN
298,1,-48.608389408971,-24.3096425244397,22,742714.630266452,-2690595.14314612,18091,399686,742725,-2690595,22KGU
299,4,-103.037923326874,29.6239653566741,13,689966.247578095,3278727.06651461,16332,190709,689955,3278715,13RFN
300,3,24.7054498424535,12.7086797260919,35,250828.262498435,1406018.12709307,1694,253132,250815,1406025,35PKQ
