,datetime,burst_id,site_id,site_lon,site_lat,vv,vh,vv/vh
39,2021-05-28 14:07:35,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.2100101113319397, 0.08816871792078018, 0.1224222481250763, 0.28321313858032227, 0.14315322041511536, 0.1557900756597519, 0.13425377011299133, 0.17939601838588715, 0.14430126547813416]","[0.03324640914797783, 0.08116597682237625, 0.035043664276599884, 0.043555814772844315, 0.02544851414859295, 0.02585700713098049, 0.04194898158311844, 0.05240647494792938, 0.01964588835835457]","[6.316775798797607, 1.0862767696380615, 3.493420362472534, 6.502303600311279, 5.625209331512451, 6.025062084197998, 3.2004058361053467, 3.4231650829315186, 7.3451128005981445]"
40,2021-06-03 14:06:49,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.24532194435596466, 0.1747538149356842, 0.10838647931814194, 0.16253875195980072, 0.1355079859495163, 0.12343686074018478, 0.3046128749847412, 0.24083195626735687, 0.13358861207962036]","[0.07222139090299606, 0.07236191630363464, 0.03592152148485184, 0.03093036636710167, 0.026963194832205772, 0.04737754911184311, 0.07497473806142807, 0.059325963258743286, 0.06827101856470108]","[3.3968045711517334, 2.414997100830078, 3.017313241958618, 5.2549896240234375, 5.025665283203125, 2.6053872108459473, 4.062873363494873, 4.059469699859619, 1.9567396640777588]"
41,2021-06-09 14:07:35,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.12069152295589447, 0.15321633219718933, 0.15050743520259857, 0.11225501447916031, 0.10736963897943497, 0.06563138961791992, 0.08577410131692886, 0.2603670656681061, 0.10089126229286194]","[0.06962896138429642, 0.043966103345155716, 0.06776473671197891, 0.04825360327959061, 0.027858305722475052, 0.0329812616109848, 0.03728335723280907, 0.08177810162305832, 0.04321128875017166]","[1.7333523035049438, 3.4848740100860596, 2.2210288047790527, 2.32635498046875, 3.8541338443756104, 1.989959955215454, 2.300600290298462, 3.183823823928833, 2.3348357677459717]"
42,2021-06-15 14:06:50,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.13336005806922913, 0.17128802835941315, 0.12959018349647522, 0.13523095846176147, 0.2079591602087021, 0.13134467601776123, 0.12106673419475555, 0.19340880215168, 0.1728847771883011]","[0.04360095411539078, 0.03653484955430031, 0.0436168909072876, 0.028328239917755127, 0.03390442207455635, 0.03944196552038193, 0.036450423300266266, 0.04760899022221565, 0.027256516739726067]","[3.058650016784668, 4.6883463859558105, 2.9711008071899414, 4.773715496063232, 6.133688449859619, 3.3300743103027344, 3.321408271789551, 4.062442779541016, 6.342878818511963]"
43,2021-06-21 14:07:36,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.31252798438072205, 0.3742900490760803, 0.20185287296772003, 0.30762365460395813, 0.20783312618732452, 0.2193116545677185, 0.14383426308631897, 0.24874630570411682, 0.23684532940387726]","[0.025199564173817635, 0.03760794550180435, 0.04905010014772415, 0.042605623602867126, 0.06335406750440598, 0.032770249992609024, 0.050245851278305054, 0.04982762411236763, 0.03962221369147301]","[12.402118682861328, 9.95241928100586, 4.115238666534424, 7.220259189605713, 3.2805016040802, 6.692400932312012, 2.862609624862671, 4.992136478424072, 5.9775896072387695]"
44,2021-06-27 14:06:51,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1901690512895584, 0.21650749444961548, 0.07939375936985016, 0.20458339154720306, 0.3617446720600128, 0.12885111570358276, 0.15663853287696838, 0.4209006428718567, 0.3450154662132263]","[0.05578632280230522, 0.06955677270889282, 0.024815501645207405, 0.04158832132816315, 0.03784681856632233, 0.042300887405872345, 0.022929225116968155, 0.041968245059251785, 0.03219838812947273]","[3.4088830947875977, 3.112673044204712, 3.199361562728882, 4.919250965118408, 9.558126449584961, 3.0460617542266846, 6.831392288208008, 10.029026985168457, 10.715302467346191]"
45,2021-07-03 14:07:37,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.25939905643463135, 0.25845590233802795, 0.23590759932994843, 0.21720300614833832, 0.25128212571144104, 0.12859492003917694, 0.14189192652702332, 0.19845527410507202, 0.1442113071680069]","[0.03989815339446068, 0.06695029139518738, 0.0394522063434124, 0.03484486788511276, 0.06519509851932526, 0.046912118792533875, 0.039513856172561646, 0.060742300003767014, 0.07902231067419052]","[6.501530170440674, 3.860414981842041, 5.979579448699951, 6.233428955078125, 3.8543100357055664, 2.741187572479248, 3.5909409523010254, 3.267167568206787, 1.8249441385269165]"
46,2021-07-09 14:06:51,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.09761065989732742, 0.21759672462940216, 0.1466081142425537, 0.1582489162683487, 0.2437068074941635, 0.1715359389781952, 0.1463569849729538, 0.18034562468528748, 0.11138792335987091]","[0.04160483554005623, 0.05213116854429245, 0.059054091572761536, 0.04203890636563301, 0.05580443516373634, 0.04285421967506409, 0.0782914012670517, 0.055956438183784485, 0.06763618439435959]","[2.346137285232544, 4.174023628234863, 2.482607126235962, 3.7643442153930664, 4.36715841293335, 4.002778053283691, 1.8693877458572388, 3.2229647636413574, 1.6468688249588013]"
47,2021-07-15 14:07:38,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.22411422431468964, 0.3071213364601135, 0.4092392921447754, 0.1515645831823349, 0.24963808059692383, 0.15916045010089874, 0.14034757018089294, 0.1970706731081009, 0.12987074255943298]","[0.04307909682393074, 0.025871751829981804, 0.033194806426763535, 0.02974657155573368, 0.0582476407289505, 0.0233917273581028, 0.05194104462862015, 0.032760925590991974, 0.04112314432859421]","[5.202389240264893, 11.8709135055542, 12.328413009643555, 5.0951948165893555, 4.285805702209473, 6.804133892059326, 2.7020552158355713, 6.015418529510498, 3.1580936908721924]"
48,2021-07-21 14:06:52,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1684558093547821, 0.2567603290081024, 0.1925310343503952, 0.15976735949516296, 0.2593933939933777, 0.15092001855373383, 0.096747986972332, 0.3106447458267212, 0.0892615094780922]","[0.035773906856775284, 0.019642865285277367, 0.027309667319059372, 0.04165954515337944, 0.028850743547081947, 0.04584798589348793, 0.030405638739466667, 0.09069006145000458, 0.04760245606303215]","[4.708901882171631, 13.071429252624512, 7.049922466278076, 3.8350720405578613, 8.990873336791992, 3.291748046875, 3.1819093227386475, 3.425344944000244, 1.8751450777053833]"
